epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7152117969691991,0.5648369132856006,1.1162017627998635,0.8148148148148148
2,0.7724798683524606,0.8504375497215593,0.4690781968611258,0.8777777777777778
3,0.38867206991240444,0.8997613365155132,0.26540237643100595,0.9296296296296296
4,0.23246185492217397,0.9411296738265712,0.1987960327554632,0.9555555555555556
5,0.1806347201813187,0.9530628480509149,0.15430495341618855,0.9555555555555556
6,0.1358511547366114,0.9665871121718377,0.13524059487713708,0.9555555555555556
7,0.11813984979640518,0.9681782020684169,0.13180447425003405,0.9592592592592593
8,0.09682890931670401,0.9769291964996022,0.12486218953574145,0.9629629629629629
9,0.08028003227264993,0.9801113762927606,0.11912552752980479,0.9740740740740741
10,0.07139497528307573,0.9824980111376292,0.11784351473605191,0.9703703703703703
11,0.07089161746020153,0.9785202863961814,0.11051869419989763,0.9740740740740741
12,0.05370636818991261,0.9896579156722355,0.12525993450372308,0.9740740740740741
13,0.04367792347480166,0.9880668257756563,0.12279290700400317,0.9740740740740741
14,0.04003965803966602,0.9896579156722355,0.11436344203021791,0.9777777777777777
15,0.037395827344773584,0.9904534606205251,0.12899084745181932,0.9814814814814815
16,0.042937480245161926,0.9880668257756563,0.1302263152682119,0.9777777777777777
17,0.032131924426558,0.9912490055688147,0.13976645886346145,0.9740740740740741
18,0.03202949634433836,0.9928400954653938,0.13461633513647098,0.9740740740740741
19,0.029266811436073306,0.9904534606205251,0.148606459548076,0.9703703703703703
20,0.027694874356427455,0.9960222752585521,0.14088153077496424,0.9666666666666667
21,0.031940174486870414,0.9904534606205251,0.13670616180256562,0.9777777777777777
22,0.02942694036635313,0.9936356404136834,0.13280358297957315,0.9814814814814815
23,0.03024849167531512,0.9936356404136834,0.14072690733053067,0.9740740740740741
