,importance
s1,34.67195409231288
s5,31.378383797293488
bmi,25.7326989183157
s2,17.053074847018323
bp,16.73429973692319
s4,11.764260443762893
sex,11.448189507396597
s3,3.3699141072711654
s6,2.4581392184249373
age,1.8073417929469962
