model,MAE,RMSE,R2
Ridge Regression,42.81199941834889,53.7774540653439,0.454146520706982
Linear Regression,42.79409467959995,53.85344583676594,0.45260276297191915
Random Forest,43.70492520594262,53.916346004592995,0.4513233096237953
