k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,1658.7588524290954,0.25931695553182543,69.52333173902912,1.5259965836052092
3,1277.928488844642,0.2848589191898987,70.94000800315118,1.389187977718165
4,1175.351881365828,0.2586075384934024,56.18878220881203,1.8169905232251695
5,1107.0073434603987,0.23152834284691684,47.15635601129616,1.6810742019980314
6,1046.0023332143635,0.23716725754166543,41.700786272038606,1.5543938572772371
7,981.5952326111657,0.2036275812271175,38.685534127511424,1.6605851121157633
8,935.2012114738545,0.1570139556393107,35.80525027642259,1.740859263995342
